,TF,Target,Label
0,13,28,1
1,13,421,1
2,13,245,1
3,13,463,1
4,13,420,1
5,13,97,1
6,14,141,1
7,14,636,1
8,14,320,1
9,14,325,1
10,14,443,1
11,14,642,1
12,14,1,1
13,14,305,1
14,14,579,1
15,14,511,1
16,14,257,1
17,14,297,1
18,14,518,1
19,14,153,1
20,14,689,1
21,14,504,1
22,14,171,1
23,14,479,1
24,14,548,1
25,14,149,1
26,14,37,1
27,14,213,1
28,14,681,1
29,14,451,1
30,15,690,1
31,17,606,1
32,37,703,1
33,37,95,1
34,37,257,1
35,37,479,1
36,37,40,1
37,37,689,1
38,37,457,1
39,37,455,1
40,37,81,1
41,37,149,1
42,37,458,1
43,37,141,1
44,37,84,1
45,37,334,1
46,37,325,1
47,37,305,1
48,37,153,1
49,37,167,1
50,37,164,1
51,37,207,1
52,37,518,1
53,37,405,1
54,37,1,1
55,37,213,1
56,37,150,1
57,37,353,1
58,37,385,1
59,37,504,1
60,37,497,1
61,37,579,1
62,37,636,1
63,38,57,1
64,38,615,1
65,38,600,1
66,38,195,1
67,39,606,1
68,39,512,1
69,48,70,1
70,48,624,1
71,48,642,1
72,48,115,1
73,48,171,1
74,48,221,1
75,48,541,1
76,48,313,1
77,48,84,1
78,48,227,1
79,48,659,1
80,48,164,1
81,49,682,1
82,49,569,1
83,49,83,1
84,49,115,1
85,49,353,1
86,49,215,1
87,49,455,1
88,49,361,1
89,50,431,1
90,50,160,1
91,50,374,1
92,57,177,1
93,57,315,1
94,57,173,1
95,57,512,1
96,57,571,1
97,57,639,1
98,57,687,1
99,57,602,1
100,57,195,1
101,57,615,1
102,65,296,1
103,65,97,1
104,65,374,1
105,65,571,1
106,65,28,1
107,65,69,1
108,65,245,1
109,65,431,1
110,69,249,1
111,69,343,1
112,69,171,1
113,69,296,1
114,71,588,1
115,71,421,1
116,71,590,1
117,74,571,1
118,74,615,1
119,74,57,1
120,74,38,1
121,74,602,1
122,80,307,1
123,80,658,1
124,97,251,1
125,97,588,1
126,97,65,1
127,97,13,1
128,97,483,1
129,97,629,1
130,97,646,1
131,97,427,1
132,97,374,1
133,97,614,1
134,97,654,1
135,99,323,1
136,99,384,1
137,101,483,1
