,TF,Target,Label
0,2,835,1
1,2,1065,1
2,2,163,1
3,2,392,1
4,2,976,1
5,2,262,1
6,2,834,1
7,2,887,1
8,2,71,1
9,2,369,1
10,2,552,1
11,2,743,1
12,2,292,1
13,2,319,1
14,2,328,1
15,2,279,1
16,2,1079,1
17,2,79,1
18,4,185,1
19,4,363,1
20,4,737,1
21,4,364,1
22,4,944,1
23,4,269,1
24,4,245,1
25,4,506,1
26,4,171,1
27,4,642,1
28,4,628,1
29,4,867,1
30,4,192,1
31,4,989,1
32,4,446,1
33,4,258,1
34,4,103,1
35,4,118,1
36,4,460,1
37,4,495,1
38,4,929,1
39,4,79,1
40,4,917,1
41,4,415,1
42,4,286,1
43,4,292,1
44,4,961,1
45,4,218,1
46,4,1026,1
47,4,645,1
48,4,843,1
49,4,328,1
50,4,679,1
51,4,1030,1
52,4,141,1
53,4,89,1
54,6,860,1
55,6,562,1
56,7,575,1
57,7,912,1
58,7,425,1
59,7,961,1
60,7,994,1
61,7,987,1
62,7,79,1
63,7,460,1
64,7,528,1
65,7,1042,1
66,7,85,1
67,7,837,1
68,8,445,1
69,8,116,1
70,8,455,1
71,8,386,1
72,8,1055,1
73,8,362,1
74,8,908,1
75,10,500,1
76,10,495,1
77,10,532,1
78,10,185,1
79,10,83,1
80,10,509,1
81,10,346,1
82,10,961,1
83,10,1117,1
84,10,987,1
85,10,334,1
86,10,842,1
87,10,125,1
88,11,1079,1
89,11,300,1
90,14,724,1
91,15,1023,1
92,21,944,1
93,21,196,1
94,21,559,1
95,21,727,1
96,21,990,1
97,21,402,1
98,21,754,1
99,21,1008,1
100,21,1033,1
101,21,582,1
102,21,921,1
103,21,989,1
104,21,364,1
105,21,293,1
106,21,1115,1
107,21,393,1
108,21,782,1
109,21,1032,1
110,21,104,1
111,21,292,1
112,21,976,1
113,21,736,1
114,21,221,1
115,21,1041,1
116,21,929,1
117,21,1072,1
118,21,1010,1
119,21,4,1
120,21,655,1
121,21,996,1
122,21,273,1
123,21,764,1
124,21,74,1
125,21,616,1
126,21,660,1
127,21,846,1
128,21,34,1
129,21,225,1
130,21,543,1
131,21,189,1
132,21,555,1
133,21,685,1
134,21,737,1
135,21,466,1
136,21,174,1
137,21,54,1
138,21,951,1
139,24,976,1
140,24,867,1
141,24,97,1
142,24,279,1
143,24,189,1
144,24,989,1
145,24,245,1
146,24,328,1
147,24,201,1
148,24,287,1
149,24,1072,1
150,24,1065,1
151,24,685,1
152,24,782,1
153,24,660,1
154,24,1026,1
155,24,4,1
156,24,393,1
157,24,884,1
158,24,21,1
159,24,944,1
160,24,1008,1
161,24,941,1
162,24,1064,1
163,31,772,1
164,31,79,1
165,31,85,1
166,31,407,1
167,31,217,1
168,31,994,1
169,31,920,1
170,31,745,1
171,31,528,1
172,31,823,1
173,31,575,1
174,31,837,1
175,34,1041,1
176,34,79,1
177,34,446,1
178,34,653,1
179,34,867,1
180,34,655,1
181,34,772,1
182,34,901,1
183,34,948,1
184,34,648,1
185,34,167,1
186,34,589,1
187,34,1111,1
188,34,189,1
189,34,917,1
190,34,976,1
191,34,922,1
192,34,555,1
193,34,364,1
194,34,1061,1
195,34,221,1
196,34,245,1
197,34,817,1
198,34,843,1
199,34,536,1
200,34,286,1
201,34,280,1
202,34,24,1
203,34,459,1
204,34,640,1
205,34,782,1
206,34,944,1
207,34,1032,1
208,34,4,1
209,34,567,1
210,34,1008,1
211,34,212,1
212,34,369,1
213,34,247,1
214,34,789,1
215,34,1022,1
216,34,435,1
217,34,989,1
218,34,595,1
219,40,519,1
220,40,1065,1
221,40,2,1
222,42,171,1
223,43,460,1
224,43,987,1
225,43,961,1
226,43,589,1
227,44,446,1
228,48,21,1
229,48,995,1
230,48,654,1
231,48,329,1
232,48,1033,1
233,48,364,1
234,48,443,1
235,48,846,1
236,50,676,1
237,50,966,1
238,54,1041,1
239,54,998,1
240,54,917,1
241,54,1058,1
242,54,1032,1
243,54,648,1
244,54,867,1
245,54,157,1
246,55,1117,1
247,55,393,1
248,55,919,1
249,55,334,1
250,55,1058,1
251,55,364,1
252,55,1040,1
253,55,157,1
254,55,477,1
255,55,314,1
256,55,79,1
257,55,448,1
258,55,536,1
259,56,702,1
260,56,575,1
261,63,238,1
262,63,458,1
263,63,210,1
264,63,746,1
265,63,1066,1
266,63,1057,1
267,65,481,1
268,65,588,1
269,65,766,1
270,65,514,1
271,65,1103,1
272,68,170,1
273,68,1083,1
274,68,4,1
275,68,136,1
276,70,230,1
277,71,428,1
278,71,533,1
279,71,928,1
280,71,86,1
281,71,857,1
282,71,519,1
283,71,389,1
284,72,260,1
285,72,444,1
286,76,551,1
287,76,559,1
288,77,673,1
289,77,844,1
290,77,902,1
291,77,609,1
292,77,874,1
293,77,510,1
294,77,624,1
295,77,153,1
296,77,296,1
297,77,79,1
298,77,374,1
299,77,548,1
300,79,961,1
301,79,823,1
302,79,994,1
303,79,4,1
304,79,724,1
305,79,655,1
306,79,77,1
307,79,403,1
308,79,844,1
309,79,833,1
310,79,111,1
311,79,902,1
312,79,871,1
313,79,1030,1
314,79,432,1
315,79,737,1
316,79,1077,1
317,79,1000,1
318,79,7,1
319,79,987,1
320,79,558,1
321,79,745,1
322,79,1038,1
323,79,985,1
324,79,772,1
325,79,715,1
326,79,1055,1
327,79,401,1
328,79,383,1
329,79,21,1
330,79,141,1
331,79,389,1
332,79,773,1
333,79,107,1
334,79,501,1
335,79,603,1
336,79,1095,1
337,79,837,1
338,79,1073,1
339,79,761,1
340,79,755,1
341,79,462,1
342,79,956,1
343,79,443,1
344,79,528,1
345,79,1072,1
346,79,641,1
347,79,575,1
348,81,238,1
349,81,966,1
350,81,1102,1
351,81,210,1
352,81,458,1
353,81,1066,1
354,81,746,1
355,81,881,1
356,81,582,1
357,83,536,1
358,83,848,1
359,83,393,1
360,83,649,1
361,83,867,1
362,83,509,1
363,83,500,1
364,83,846,1
365,83,10,1
366,83,987,1
367,83,1099,1
368,83,680,1
369,83,460,1
370,83,733,1
371,83,477,1
372,83,961,1
373,83,448,1
374,83,125,1
375,83,364,1
376,85,823,1
377,85,1099,1
378,85,528,1
379,85,79,1
380,85,980,1
381,85,468,1
382,85,745,1
383,85,460,1
384,85,994,1
385,85,31,1
386,85,575,1
387,85,346,1
388,85,987,1
389,85,407,1
390,85,83,1
391,85,1042,1
392,86,873,1
393,86,561,1
394,86,389,1
395,86,928,1
396,86,857,1
397,89,443,1
398,89,4,1
399,89,79,1
400,89,996,1
401,89,1072,1
402,89,715,1
403,89,740,1
404,89,755,1
405,91,743,1
406,91,787,1
407,91,855,1
408,91,416,1
409,94,1040,1
410,94,107,1
411,94,55,1
412,94,846,1
413,94,393,1
414,94,655,1
415,94,715,1
416,95,532,1
417,95,269,1
418,95,1097,1
419,95,763,1
420,95,985,1
421,95,616,1
422,95,680,1
423,95,867,1
424,95,898,1
425,95,676,1
426,95,664,1
427,95,24,1
428,95,582,1
429,95,443,1
430,95,865,1
431,97,867,1
432,97,13,1
433,97,944,1
434,97,466,1
435,97,989,1
436,97,11,1
437,99,999,1
438,99,971,1
439,99,540,1
440,99,742,1
441,99,648,1
442,99,269,1
443,99,754,1
444,99,1033,1
445,99,1065,1
446,99,529,1
447,99,882,1
448,99,966,1
449,99,582,1
450,100,661,1
451,100,887,1
452,100,1094,1
453,100,157,1
454,103,415,1
455,103,1043,1
456,103,611,1
457,103,460,1
458,103,185,1
459,103,1022,1
460,103,179,1
461,103,987,1
462,103,4,1
463,104,628,1
464,104,21,1
465,105,355,1
466,105,611,1
467,105,350,1
468,105,460,1
469,105,495,1
470,105,185,1
471,105,480,1
472,105,961,1
473,107,393,1
474,107,655,1
475,107,55,1
476,107,1040,1
477,107,79,1
478,107,869,1
479,108,816,1
480,111,79,1
481,111,429,1
482,111,333,1
483,111,443,1
484,111,437,1
485,116,445,1
486,116,501,1
487,116,185,1
488,116,648,1
489,116,324,1
490,116,527,1
491,116,919,1
492,116,362,1
493,116,908,1
494,116,8,1
495,117,588,1
496,117,402,1
497,118,996,1
498,118,177,1
499,118,765,1
500,118,851,1
501,118,917,1
502,118,501,1
503,118,976,1
504,118,280,1
505,118,640,1
506,118,824,1
507,118,611,1
508,118,4,1
509,118,460,1
510,118,446,1
511,118,171,1
512,118,1032,1
513,118,495,1
514,118,167,1
515,118,221,1
516,118,536,1
517,118,236,1
518,118,369,1
519,118,21,1
520,118,648,1
521,118,948,1
522,119,640,1
523,119,456,1
524,119,536,1
525,123,329,1
526,123,729,1
527,123,250,1
528,123,402,1
529,125,763,1
530,125,445,1
531,125,1061,1
532,125,225,1
533,125,664,1
534,125,1117,1
535,125,1055,1
536,125,980,1
537,125,501,1
538,125,426,1
539,125,991,1
540,125,680,1
541,125,922,1
542,125,532,1
543,125,611,1
544,125,733,1
545,125,10,1
546,125,362,1
547,136,1026,1
548,136,170,1
549,136,679,1
550,136,68,1
551,136,453,1
552,141,79,1
553,141,4,1
554,141,727,1
555,141,89,1
556,141,996,1
557,141,1003,1
558,141,624,1
559,141,755,1
560,145,802,1
561,145,742,1
562,145,1031,1
563,148,1065,1
564,148,867,1
565,148,249,1
566,148,533,1
567,148,727,1
568,149,379,1
569,149,763,1
570,149,1065,1
571,149,236,1
572,149,1116,1
573,149,648,1
574,160,181,1
575,160,1055,1
576,160,987,1
577,160,8,1
578,160,185,1
579,160,1072,1
580,160,350,1
581,160,445,1
582,160,501,1
583,163,654,1
584,163,1003,1
585,163,411,1
586,163,369,1
587,163,2,1
588,163,177,1
589,167,34,1
590,167,917,1
591,167,1032,1
592,167,221,1
593,167,456,1
594,167,369,1
595,167,654,1
596,167,989,1
597,167,567,1
598,167,459,1
599,167,976,1
600,167,2,1
601,167,1004,1
602,167,1003,1
603,167,177,1
604,170,192,1
605,170,68,1
606,170,551,1
607,170,1026,1
608,170,1083,1
609,171,1022,1
610,171,292,1
611,171,989,1
612,171,34,1
613,171,4,1
614,171,589,1
615,171,501,1
616,171,495,1
617,171,611,1
618,171,460,1
619,171,280,1
620,171,987,1
621,171,948,1
622,171,764,1
623,171,288,1
624,171,961,1
625,172,713,1
626,172,588,1
627,172,1113,1
628,172,812,1
629,174,1041,1
630,174,89,1
631,174,727,1
632,174,624,1
633,174,79,1
634,174,1003,1
635,174,141,1
636,174,21,1
637,174,755,1
638,175,327,1
639,175,857,1
640,175,1101,1
641,175,605,1
642,176,308,1
643,177,369,1
644,177,989,1
645,177,595,1
646,177,459,1
647,177,640,1
648,177,567,1
649,177,34,1
650,177,292,1
651,177,976,1
652,177,765,1
653,177,163,1
654,178,867,1
655,178,1064,1
656,179,1022,1
657,179,1043,1
658,179,648,1
659,179,280,1
660,179,1030,1
661,181,185,1
662,181,460,1
663,181,160,1
664,181,961,1
665,181,495,1
666,182,515,1
667,182,1032,1
668,182,754,1
669,182,269,1
670,182,582,1
671,182,727,1
672,182,867,1
673,185,160,1
674,185,435,1
675,185,1055,1
676,185,501,1
677,185,733,1
678,185,589,1
679,185,1061,1
680,185,346,1
681,185,204,1
682,185,79,1
683,185,1042,1
684,185,225,1
685,185,648,1
686,185,85,1
687,185,912,1
688,185,991,1
689,185,816,1
690,185,217,1
691,185,350,1
692,185,43,1
693,185,446,1
694,185,288,1
695,185,1111,1
696,185,837,1
697,185,1022,1
698,185,483,1
699,185,221,1
700,185,212,1
701,185,649,1
702,185,922,1
703,185,680,1
704,185,328,1
705,185,171,1
706,185,83,1
707,185,10,1
708,185,407,1
709,185,611,1
710,185,34,1
711,185,961,1
712,185,500,1
713,185,103,1
714,185,823,1
715,185,118,1
716,185,7,1
717,189,409,1
718,189,598,1
719,189,929,1
720,189,1064,1
721,189,196,1
722,189,4,1
723,189,245,1
724,189,628,1
725,189,34,1
726,189,1022,1
727,189,917,1
728,189,242,1
729,192,1026,1
730,192,1022,1
731,192,453,1
732,192,170,1
733,192,648,1
734,196,409,1
735,196,34,1
736,196,555,1
737,196,1072,1
738,196,245,1
739,196,813,1
